,iteration,metric,value,index,hyperparameters
0,full_train_raw_first_shot,,0.395,model_name_or_path,sentence-transformers/paraphrase-mpnet-base-v2
1,eval_raw_first_shot,,0.397285067873303,dataset,SetFit/sst5
2,full_train_trained_first_shot,,0.3744,train_dataset_size,5000
3,eval_trained_first_shot,,0.376923076923076,random_seed,333
4,data_selector,1,0.6,dataset_train_split,train
5,full_train_setfit_iteration,1,0.4278,dataset_test_split,test
6,cur_train_setfit_iteration,1,0.6,hypothesis_template,The sentiment in this text is {}.
7,full_train_first_shot_iteration,1,0.3872,multi_target_strategy,None
8,eval_first_shot_iteration,1,0.393212669683257,use_differentiable_head,False
9,eval_setfit_iteration,1,0.426696832579185,num_iterations,20
10,data_selector,2,0.6125,num_setfit_iterations,2
11,full_train_setfit_iteration,2,0.4324,num_epochs,1
12,cur_train_setfit_iteration,2,0.6125,samples_per_label,4
13,full_train_first_shot_iteration,2,0.3678,normalize_embeddings,False
14,eval_first_shot_iteration,2,0.379638009049773,selection_strategy,ic
15,eval_setfit_iteration,2,0.427601809954751,batch_size,8
16,,,,var_samples_per_label,None
17,,,,var_selection_strategy,None
18,,,,learning_rate,2e-05
19,,,,body_learning_rate,1e-06
20,,,,num_body_epochs,2
21,,,,freeze_head,False
22,,,,freeze_body,False
23,,,,train_first_shot,True
24,,,,allow_resampling,False
25,,,,growth_rate,2
26,,,,growth_threshold,0.05
27,,,,starting_n,8
28,,,,cluster_permissiveness,100.
